Date,Modded.GPP,Observed.GPP,Uncertainty,Corrected.GPP,WTH.Modeled,WTH.Observed
1,0,NA,NA,NA,NA,NA
2,0,NA,NA,NA,NA,NA
3,0,NA,NA,NA,NA,NA
4,0,NA,NA,NA,NA,NA
5,0,NA,NA,NA,NA,NA
6,0,NA,NA,NA,NA,NA
7,0,NA,NA,NA,NA,NA
8,0,NA,NA,NA,NA,NA
9,0,NA,NA,NA,NA,NA
10,0,NA,NA,NA,NA,NA
11,0,NA,NA,NA,NA,NA
12,0,NA,NA,NA,NA,NA
13,0,NA,NA,NA,NA,NA
14,0,NA,NA,NA,NA,NA
15,0,NA,NA,NA,NA,NA
16,0,NA,NA,NA,NA,NA
17,0,NA,NA,NA,NA,NA
18,0,NA,NA,NA,NA,NA
19,0,NA,NA,NA,NA,NA
20,0,NA,NA,NA,NA,NA
21,0,NA,NA,NA,NA,NA
22,0,NA,NA,NA,NA,NA
23,0,NA,NA,NA,NA,NA
24,0,NA,NA,NA,NA,NA
25,0,NA,NA,NA,NA,NA
26,0,NA,NA,NA,NA,NA
27,0,NA,NA,NA,NA,NA
28,0,NA,NA,NA,NA,NA
29,0,NA,NA,NA,NA,NA
30,0,NA,NA,NA,NA,NA
31,0,NA,NA,NA,NA,NA
32,0,NA,NA,NA,NA,NA
33,0,NA,NA,NA,NA,NA
34,0,NA,NA,NA,NA,NA
35,0,NA,NA,NA,NA,NA
36,0,NA,NA,NA,NA,NA
37,0,NA,NA,NA,NA,NA
38,0,NA,NA,NA,NA,NA
39,0,NA,NA,NA,NA,NA
40,0,NA,NA,NA,NA,NA
41,0,NA,NA,NA,NA,NA
42,0,NA,NA,NA,NA,NA
43,0,NA,NA,NA,NA,NA
44,0,NA,NA,NA,NA,NA
45,0,NA,NA,NA,NA,NA
46,0,NA,NA,NA,NA,NA
47,0,NA,NA,NA,NA,NA
48,0,NA,NA,NA,NA,NA
49,0,NA,NA,NA,NA,NA
50,0,NA,NA,NA,NA,NA
51,0,NA,NA,NA,NA,NA
52,0,NA,NA,NA,NA,NA
53,0,NA,NA,NA,NA,NA
54,0,NA,NA,NA,NA,NA
55,0,NA,NA,NA,NA,NA
56,0,NA,NA,NA,NA,NA
57,0,NA,NA,NA,NA,NA
58,0,NA,NA,NA,NA,NA
59,0,NA,NA,NA,NA,NA
60,0,NA,NA,NA,NA,NA
61,0,NA,NA,NA,NA,NA
62,0,NA,NA,NA,NA,NA
63,0,NA,NA,NA,NA,NA
64,0,NA,NA,NA,NA,NA
65,0,NA,NA,NA,NA,NA
66,0,NA,NA,NA,NA,NA
67,0,NA,NA,NA,NA,NA
68,0,NA,NA,NA,NA,NA
69,0,NA,NA,NA,NA,NA
70,0,NA,NA,NA,NA,NA
71,0,NA,NA,NA,NA,NA
72,0,NA,NA,NA,NA,NA
73,0,NA,NA,NA,NA,NA
74,0,NA,NA,NA,NA,NA
75,0,NA,NA,NA,NA,NA
76,0,NA,NA,NA,NA,NA
77,0,NA,NA,NA,NA,NA
78,0,NA,NA,NA,NA,NA
79,0,NA,NA,NA,NA,NA
80,0,NA,NA,NA,NA,NA
81,0,NA,NA,NA,NA,NA
82,0,NA,NA,NA,NA,NA
83,0,NA,NA,NA,NA,NA
84,0,NA,NA,NA,NA,NA
85,0,NA,NA,NA,NA,NA
86,0,NA,NA,NA,NA,NA
87,0,NA,NA,NA,NA,NA
88,0,NA,NA,NA,NA,NA
89,0,NA,NA,NA,NA,NA
90,0,NA,NA,NA,NA,NA
91,0,NA,NA,NA,NA,NA
92,0,NA,NA,NA,NA,NA
93,0,NA,NA,NA,NA,NA
94,0,NA,NA,NA,NA,NA
95,0,NA,NA,NA,NA,NA
96,0,NA,NA,NA,NA,NA
97,0,NA,NA,NA,NA,NA
98,0,NA,NA,NA,NA,NA
99,0,NA,NA,NA,NA,NA
100,8.00E-04,NA,NA,NA,NA,NA
101,0.0964,NA,NA,NA,NA,NA
102,0.1961,NA,NA,NA,NA,NA
103,0.1622,NA,NA,NA,NA,NA
104,0.1881,NA,NA,NA,NA,NA
105,0.1602,NA,NA,NA,NA,NA
106,0.1088,NA,NA,NA,NA,NA
107,0.0812,NA,NA,NA,NA,NA
108,0.1422,NA,NA,NA,NA,NA
109,0.2383,NA,NA,NA,NA,NA
110,0.1042,NA,NA,NA,NA,NA
111,0.4456,NA,NA,NA,NA,NA
112,0.4552,NA,NA,NA,NA,NA
113,0.8641,NA,NA,NA,NA,NA
114,0.7046,NA,NA,NA,NA,NA
115,0.056,NA,NA,NA,NA,NA
116,0.1555,NA,NA,NA,NA,NA
117,0.4311,NA,NA,NA,NA,NA
118,0.3439,NA,NA,NA,NA,NA
119,0.2693,NA,NA,NA,NA,NA
120,0.7822,NA,NA,NA,NA,NA
121,0.4617,NA,NA,NA,NA,NA
122,0.5423,NA,NA,NA,NA,NA
123,0.4491,NA,NA,NA,NA,NA
124,0.7377,NA,NA,NA,NA,NA
125,1.0462,NA,NA,NA,NA,NA
126,0.5845,NA,NA,NA,NA,NA
127,0.4732,NA,NA,NA,NA,NA
128,0.9685,NA,NA,NA,NA,NA
129,0.2143,NA,NA,NA,NA,NA
130,0.3252,NA,NA,NA,NA,NA
131,1.8491,NA,NA,NA,NA,NA
132,2.2906,NA,NA,NA,NA,NA
133,0.8373,NA,NA,NA,NA,NA
134,2.5855,NA,NA,NA,NA,NA
135,2.0265,NA,NA,NA,NA,NA
136,2.3072,NA,NA,NA,NA,NA
137,2.919,NA,NA,NA,NA,NA
138,3.4084,NA,NA,NA,NA,NA
139,2.9399,NA,NA,NA,NA,NA
140,1.4712,NA,NA,NA,NA,NA
141,3.1609,NA,NA,NA,NA,NA
142,2.2302,NA,NA,NA,NA,NA
143,3.6075,NA,NA,NA,NA,NA
144,3.6119,NA,NA,NA,NA,NA
145,3.2254,NA,NA,NA,NA,NA
146,3.4137,NA,NA,NA,NA,NA
147,3.1421,NA,NA,NA,NA,NA
148,3.5998,NA,NA,NA,NA,NA
149,3.6547,NA,NA,NA,NA,NA
150,3.5952,NA,NA,NA,NA,NA
151,3.3554,NA,NA,NA,NA,NA
152,1.9672,NA,NA,NA,NA,NA
153,2.2098,NA,NA,NA,NA,NA
154,1.8069,NA,NA,NA,NA,NA
155,3.1584,NA,NA,NA,NA,NA
156,3.3477,NA,NA,NA,NA,NA
157,2.0449,NA,NA,NA,NA,NA
158,3.1178,1.134872886,0.246686957,1.24712,0.0115,0.06
159,3.2549,1.404142476,0.304026489,1.62745,0.0068,0.05
160,3.9158,1.137669355,0.258832364,1.9579,0.0029,0.05
161,3.384,1.358391744,0.272159997,2.0304,-0.0081,0.04
162,3.9671,1.065970823,0.197804263,1.58684,-0.0211,0.06
163,2.3021,0.468114117,0.167813378,0,-0.0203,0.11
164,0.3858,0.626294126,0.197175655,0,0.0328,0.11
165,2.6007,0.559433674,0.134914761,0,0.024,0.1
166,0.9642,0.237711786,0.132004974,0,0.0144,0.13
167,0.2896,0.375898253,0.238587572,0,0.0302,0.13
168,1.6886,0.544834604,0.231151209,0,0.0327,0.13
169,3.1456,1.10276333,0.326162109,0,0.0162,0.11
170,3.5663,0.995434303,0.219527009,0.35663,0.0084,0.09
171,1.2433,1.138389412,0.268642166,0,0.0056,0.1
172,2.1131,1.791044499,0.31399219,0.42262,0.0228,0.08
173,3.0461,2.147860567,0.320646315,0.91383,0.0131,0.07
174,3.0995,2.252268838,0.318636797,0.92985,0.0071,0.07
175,3.7201,2.003941719,0.223811816,1.48804,0.004,0.06
176,1.9282,1.974594734,0.295478728,0.77128,0.0042,0.06
177,2.1602,2.344056558,0.321283813,1.0801,0.009,0.05
178,2.9214,2.473367504,0.419550596,1.16856,0.0059,0.06
179,2.6232,1.533185237,0.342549096,0,0.0029,0.11
180,1.2955,1.481747123,0.393237114,0,0.0302,0.11
181,1.4581,1.528260053,0.355457375,0,0.0379,0.11
182,2.9481,1.669109958,0.282434144,0.29481,0.0178,0.09
183,1.9606,1.924011457,0.327249787,0.39212,0.0147,0.08
184,3.6536,2.246963214,0.29463222,1.09608,0.0099,0.07
185,3.896,2.289241695,0.369452771,1.5584,0.0047,0.06
186,3.349,3.14324886,0.557666093,1.3396,0.0011,0.06
187,3.7364,2.841677867,0.492213954,1.49456,-0.0069,0.06
188,2.9364,2.92412894,0.443596604,1.17456,-0.0113,0.06
189,0.0362,2.773584058,0.439535767,0.0181,0.0638,0.05
190,0,3.003036001,0.421410111,0,0.0606,0.05
191,0.7713,2.979133652,0.49937297,0.46278,0.0451,0.04
192,1.7991,3.187102827,0.551987602,0.71964,0.0338,0.06
193,1.1619,3.362934199,0.597414851,0.58095,0.0281,0.05
194,2.1972,2.842954496,0.43530591,1.31832,0.0254,0.04
195,2.3097,2.228034669,0.329999008,1.15485,0.0219,0.05
196,1.5003,2.483805185,0.387052458,0.75015,0.0176,0.05
197,2.5417,2.699911779,0.367498574,1.52502,0.0139,0.04
198,2.8809,3.102476793,0.509730251,2.01663,0.0109,0.03
199,2.9982,3.507652194,0.525087562,2.09874,0.0128,0.03
200,3.3259,3.694164635,0.534804728,2.66072,0.01,0.02
201,3.0324,4.521466516,0.774268202,2.42592,0.0095,0.02
202,2.8816,5.215612563,1.021194936,2.30528,0.0085,0.02
203,2.6298,3.973488317,0.60055957,2.10384,0.0084,0.02
204,2.7388,3.438893643,0.541766382,2.19104,0.0097,0.02
205,3.2527,3.508065195,0.465331445,2.92743,0.0115,0.01
206,3.0957,3.708049455,0.51752194,3.0957,0.0082,0
207,1.6831,3.720670544,0.528937451,1.51479,0.0084,0.01
208,3.1906,3.514560422,0.471867491,2.87154,0.0087,0.01
209,1.7612,4.030567596,0.562429728,1.58508,0.0083,0.01
210,3.2204,4.119821463,0.537736759,3.2204,0.0117,0
211,3.1032,4.610788924,0.554761348,3.1032,0.0081,-0.01
212,3.2049,4.601953425,0.616989585,3.2049,0.0042,-0.01
213,3.8067,4.909002444,0.61248351,3.8067,-0.0176,-0.02
214,3.8186,4.876704,0.685933721,3.8186,-0.0322,-0.02
215,3.8249,5.122702312,0.713072826,3.8249,-0.0631,-0.03
216,3.5793,4.013466704,0.581464946,3.5793,-0.0762,-0.03
217,3.9365,4.999436795,0.690772851,3.9365,-0.0908,-0.04
218,3.7932,5.653230674,0.7863732,3.7932,-0.0978,-0.04
219,3.7379,5.078917431,0.699756042,3.7379,-0.1046,-0.05
220,3.7593,5.408051687,0.834621028,3.7593,-0.1108,-0.06
221,3.765,5.375008372,0.821489753,3.765,-0.1166,-0.06
222,3.3988,4.103102809,0.672167965,3.3988,-0.122,-0.05
223,2.1537,4.933698332,0.69605776,2.1537,-0.1271,-0.04
224,3.7922,4.353010185,0.563676668,3.7922,-0.1312,-0.04
225,3.805,4.320250929,0.585245759,3.805,-0.1352,-0.05
226,3.7815,4.654313703,0.521184842,3.7815,-0.139,-0.06
227,3.7887,5.539483253,0.675762755,3.7887,-0.1425,-0.06
228,3.6546,6.159657263,0.807575085,3.6546,-0.1415,-0.07
229,2.7124,5.208252729,0.563111921,2.7124,-0.1432,-0.08
230,2.2772,3.007785422,0.36640734,2.2772,-0.1485,-0.02
231,2.2506,4.569037044,0.571864839,2.2506,-0.1499,-0.03
232,2.8341,4.289154285,0.412495664,2.8341,-0.139,-0.03
233,2.9667,4.139387969,0.426077952,2.9667,-0.1398,-0.04
234,2.1267,5.391832977,0.648017517,2.1267,-0.1347,-0.04
235,2.2619,5.055200394,0.559826365,2.2619,-0.1331,-0.05
236,1.983,3.965573806,0.422674257,1.983,-0.1308,-0.03
237,1.3144,3.39517272,0.38766594,1.3144,-0.1235,-0.03
238,2.1019,3.66345885,0.414089164,2.1019,-0.1252,-0.04
239,3.3069,4.315705714,0.463176401,3.3069,-0.1201,-0.04
240,3.5983,3.27279832,0.367157474,3.5983,-0.1199,-0.04
241,2.3392,2.278270028,0.203271534,2.3392,-0.1211,-0.01
242,1.2963,3.311534356,0.283084622,1.2963,-0.1068,-0.02
243,1.9387,3.882736824,0.422333619,1.9387,-0.101,-0.02
244,1.8529,3.80914726,0.42577743,1.8529,-0.09,-0.02
245,3.242,3.213393319,0.342709677,3.242,-0.0888,-0.02
246,3.0924,3.748628714,0.365393969,3.0924,-0.0896,-0.03
247,2.8679,3.330627053,0.342265978,2.8679,-0.0884,0
248,2.6687,3.582580847,0.414316741,2.6687,-0.0873,-0.01
249,3.3453,2.723864453,0.243768114,3.3453,-0.0895,-0.02
250,3.4971,2.748981738,0.199999544,3.4971,-0.0886,-0.02
251,3.2796,3.546756011,0.363498539,3.2796,-0.0887,-0.03
252,3.3378,2.046657816,0.160803648,3.3378,-0.0888,-0.02
253,1.302,2.068387135,0.211552135,1.302,-0.0912,-0.02
254,1.7912,2.077547799,0.201025559,1.7912,-0.0863,-0.02
255,2.512,1.754706996,0.099037716,2.512,-0.0875,-0.02
256,2.3286,1.833558844,0.13349494,2.3286,-0.0885,-0.03
257,2.6297,2.124335216,0.168644405,2.6297,-0.0901,-0.03
258,2.4532,1.895529414,0.220451264,2.4532,-0.0891,-0.03
259,3.0873,2.406069371,0.295416175,3.0873,-0.0896,-0.04
260,3.2232,2.125416019,0.247742534,3.2232,-0.0875,-0.04
261,3.0293,2.261886428,0.297264773,3.0293,-0.0901,-0.04
262,2.8991,1.424405278,0.166012627,2.8991,-0.0947,-0.04
263,0.6559,2.042781436,0.228186319,0.6559,-0.0933,-0.03
264,2.5947,2.176147721,0.302723506,2.5947,-0.0969,-0.02
265,2.7846,2.010929798,0.313964348,2.7846,-0.0894,-0.02
266,2.9986,2.455694167,0.391726881,2.9986,-0.0886,-0.03
267,2.8599,2.739953948,0.383041813,2.8599,-0.0863,-0.03
268,1.7694,2.529023205,0.335523828,1.7694,-0.0852,-0.03
269,1.9114,2.470135203,0.314473007,1.9114,-0.0855,-0.04
270,2.7368,2.647846009,0.360500577,2.7368,-0.087,-0.04
271,2.5961,2.870017649,0.429056122,2.5961,-0.0895,-0.04
272,2.3591,2.183174638,0.341613515,2.3591,-0.0877,-0.05
273,2.5688,1.960379935,0.292477158,2.5688,-0.0902,-0.05
274,2.2491,1.12468036,0.146275278,2.2491,-0.0932,-0.05
275,0.7191,1.204202268,0.125984237,0.7191,-0.0934,-0.05
276,1.1279,1.039653588,0.148693005,1.1279,-0.0928,-0.04
277,0.8381,1.316912896,0.169664024,0.8381,-0.0912,-0.03
278,1.5783,1.180522077,0.227453068,1.5783,-0.0894,-0.03
279,2.3913,1.267693431,0.168453027,2.3913,-0.0892,-0.04
280,1.8324,1.111742904,0.144631252,1.8324,-0.0881,-0.04
281,1.4778,0.983914917,0.166601016,1.4778,-0.0865,-0.04
282,2.2746,1.042988003,0.132545544,2.2746,-0.0873,-0.04
283,1.7871,1.061389603,0.18979646,1.7871,-0.0853,-0.05
284,1.7105,0.672390819,0.10590844,1.7105,-0.0846,-0.05
285,2.4049,1.229088205,0.166086636,2.4049,-0.085,-0.05
286,2.3616,0.91080972,0.097269997,2.3616,-0.0864,-0.04
287,0.9455,0.743192372,0.118829319,0.9455,-0.0819,-0.04
288,2.3172,0.632026739,0.102628784,2.3172,-0.0743,-0.04
289,2.3307,0.853084558,0.094979372,2.3307,-0.0743,-0.04
290,2.2861,1.05701926,0.136416631,2.2861,-0.0746,-0.04
291,1.2324,0.69326117,0.061195856,1.2324,-0.0756,-0.04
292,2.1182,0.844507121,0.079309887,2.1182,-0.0743,-0.05
293,2.1739,0.843328211,0.110630402,2.1739,-0.0746,-0.05
294,0.9403,0.75947687,0.081567098,0.9403,-0.0749,-0.05
295,1.9094,0.910513013,0.074297135,1.9094,-0.0746,-0.05
296,1.8505,0.857480164,0.083900772,1.8505,-0.0741,-0.05
297,1.8213,0.875307,0.098975068,1.8213,-0.0748,-0.06
298,2.0002,0.691981699,0.083321519,2.0002,-0.0747,-0.06
299,1.9671,0.424505489,0.058678309,1.9671,-0.0752,-0.06
300,1.9475,0.64694166,0.084003707,1.9475,-0.0744,-0.06
301,1.1315,0.520966641,0.06819321,1.1315,-0.075,-0.05
302,0.7958,0.623638924,0.039385781,0.7958,-0.074,-0.05
303,0.8177,0.589338328,0.05163081,0.8177,-0.0739,-0.05
304,0.9276,0.173821084,0.036433723,0.9276,-0.0741,-0.05
305,1.3461,0.245919289,0.029954939,1.3461,-0.0742,-0.05
306,1.1672,0.267965317,0.051658382,1.1672,-0.0742,-0.05
307,1.5202,0.312519251,0.066038083,1.5202,-0.0742,-0.05
308,1.1211,0.179474827,0.029615012,1.1211,-0.0742,-0.05
309,0.5103,0.135386856,0.014803037,0.5103,-0.074,-0.05
310,0.702,0.116374013,0.012246916,0.702,-0.0721,-0.05
311,0.6064,0.073259126,0.007322647,0.6064,-0.0696,-0.05
312,0.2649,NA,NA,0.2649,NA,NA
313,0.4635,NA,NA,0.4635,NA,NA
314,0.5144,NA,NA,0.5144,NA,NA
315,0.0284,NA,NA,0.0284,NA,NA
316,0.1004,NA,NA,0.1004,NA,NA
317,0.1402,NA,NA,0.1402,NA,NA
318,1.00E-04,NA,NA,1.00E-04,NA,NA
319,0.0386,NA,NA,0.0386,NA,NA
320,0.2042,NA,NA,0.2042,NA,NA
321,0,NA,NA,0,NA,NA
322,0,NA,NA,0,NA,NA
323,0,NA,NA,0,NA,NA
324,0,NA,NA,0,NA,NA
325,0,NA,NA,0,NA,NA
326,0.1203,NA,NA,0.1203,NA,NA
327,0.6937,NA,NA,0.6937,NA,NA
328,0.1852,NA,NA,0.1852,NA,NA
329,0,NA,NA,0,NA,NA
330,0,NA,NA,0,NA,NA
331,0,NA,NA,0,NA,NA
332,0,NA,NA,0,NA,NA
333,0,NA,NA,0,NA,NA
334,0,NA,NA,0,NA,NA
335,0,NA,NA,0,NA,NA
336,0,NA,NA,0,NA,NA
337,0,NA,NA,0,NA,NA
338,0,NA,NA,0,NA,NA
339,0,NA,NA,0,NA,NA
340,0,NA,NA,0,NA,NA
341,0,NA,NA,0,NA,NA
342,0,NA,NA,0,NA,NA
343,0,NA,NA,0,NA,NA
344,0,NA,NA,0,NA,NA
345,0,NA,NA,0,NA,NA
346,0,NA,NA,0,NA,NA
347,0,NA,NA,0,NA,NA
348,0,NA,NA,0,NA,NA
349,0,NA,NA,0,NA,NA
350,0,NA,NA,0,NA,NA
351,0,NA,NA,0,NA,NA
352,0,NA,NA,0,NA,NA
353,0,NA,NA,0,NA,NA
354,0,NA,NA,0,NA,NA
355,0,NA,NA,0,NA,NA
356,0,NA,NA,0,NA,NA
357,0,NA,NA,0,NA,NA
358,0,NA,NA,0,NA,NA
359,0,NA,NA,0,NA,NA
360,0,NA,NA,0,NA,NA
361,0,NA,NA,0,NA,NA
362,0,NA,NA,0,NA,NA
363,0,NA,NA,0,NA,NA
364,0,NA,NA,0,NA,NA
365,0,NA,NA,0,NA,NA